variant,order,runs,median_cycles_per_poly,cycles_per_coeff,stack_bytes
seq,1,11,271444,1060.328,2604
tree,1,11,283997,1109.363,2604
seq,2,11,757244,2957.984,2604
tree,2,11,656509,2564.488,3596
seq,3,11,1680756,6565.453,2604
tree,3,11,1083021,4230.550,3596
seq,4,11,3203980,12515.546,2604
tree,4,11,1710957,6683.425,4588
seq,5,11,5488916,21441.078,2604
tree,5,11,2392893,9347.238,4588
seq,6,11,8697564,33974.859,2604
tree,6,11,3182829,12432.925,4588
seq,7,11,12991924,50749.703,2604
tree,7,11,4026765,15729.550,4588
seq,8,11,18533996,72398.421,2604
tree,8,11,5126125,20023.925,5580
