variant,order,run,cycles_per_poly,rng_calls,rng_wait_cycles,rng_error_flags,checksum,stack_bytes
seq,1,1,271444,808,9696,0x00000000,0xB79BE7BF,2604
seq,1,2,271444,808,9696,0x00000000,0xA5718DB0,2604
seq,1,3,271444,808,9696,0x00000000,0x001530C7,2604
seq,1,4,271444,808,9696,0x00000000,0xE7386847,2604
seq,1,5,271444,808,9696,0x00000000,0x2C8DEA03,2604
seq,1,6,271444,808,9696,0x00000000,0xEEB99309,2604
seq,1,7,271444,808,9696,0x00000000,0xC4109754,2604
seq,1,8,271444,808,9696,0x00000000,0xAE516535,2604
seq,1,9,271444,808,9696,0x00000000,0x33841744,2604
seq,1,10,271444,808,9696,0x00000000,0x73F77A82,2604
seq,1,11,271444,808,9696,0x00000000,0x88C92388,2604
tree,1,1,283997,808,9696,0x00000000,0x58D185EF,2604
tree,1,2,283997,808,9696,0x00000000,0xBB8F39FC,2604
tree,1,3,283997,808,9696,0x00000000,0xB5380134,2604
tree,1,4,283997,808,9696,0x00000000,0x0160A535,2604
tree,1,5,283997,808,9696,0x00000000,0x641F26C2,2604
tree,1,6,283997,808,9696,0x00000000,0x515F3C45,2604
tree,1,7,283997,808,9696,0x00000000,0x85A0B5BE,2604
tree,1,8,283997,808,9696,0x00000000,0x054C26B9,2604
tree,1,9,283997,808,9696,0x00000000,0xBE319B5C,2604
tree,1,10,283997,808,9696,0x00000000,0xEC108F98,2604
tree,1,11,283997,808,9696,0x00000000,0x311E69BB,2604
seq,2,1,757244,4224,50688,0x00000000,0x4E53F83C,2604
seq,2,2,757244,4224,50688,0x00000000,0x00DB1066,2604
seq,2,3,757244,4224,50688,0x00000000,0x6DF8416E,2604
seq,2,4,757244,4224,50688,0x00000000,0x442B9469,2604
seq,2,5,757244,4224,50688,0x00000000,0xC05F6EE2,2604
seq,2,6,757244,4224,50688,0x00000000,0xCA2C7AF7,2604
seq,2,7,757244,4224,50688,0x00000000,0x33E94A40,2604
seq,2,8,757244,4224,50688,0x00000000,0xDAE38EFA,2604
seq,2,9,757244,4224,50688,0x00000000,0xEDCB68D5,2604
