variant,order,run,cycles_per_poly,rng_calls,rng_wait_cycles,rng_error_flags,checksum,stack_bytes
seq,1,1,271444,808,9696,0x00000000,0xEB1DEC6E,2604
seq,1,2,271444,808,9696,0x00000000,0x463B05D0,2604
seq,1,3,271444,808,9696,0x00000000,0xE808804C,2604
seq,1,4,271444,808,9696,0x00000000,0xB9351DC6,2604
seq,1,5,271444,808,9696,0x00000000,0x8C856BF6,2604
seq,1,6,271444,808,9696,0x00000000,0x5B6FAEAD,2604
seq,1,7,271444,808,9696,0x00000000,0xC67475FA,2604
seq,1,8,271444,808,9696,0x00000000,0x3BDF0E3B,2604
seq,1,9,271444,808,9696,0x00000000,0xD3F07595,2604
seq,1,10,271444,808,9696,0x00000000,0x7F3CF5EF,2604
seq,1,11,271444,808,9696,0x00000000,0x696BDFDB,2604
tree,1,1,283997,808,9696,0x00000000,0x56D9135F,2604
tree,1,2,283997,808,9696,0x00000000,0x72E973F5,2604
tree,1,3,283997,808,9696,0x00000000,0x9441BAE8,2604
tree,1,4,283997,808,9696,0x00000000,0x53830ACF,2604
tree,1,5,283997,808,9696,0x00000000,0xA8E8764E,2604
tree,1,6,283997,808,9696,0x00000000,0xC0D9BDC2,2604
tree,1,7,283997,808,9696,0x00000000,0x566DEE54,2604
tree,1,8,283997,808,9696,0x00000000,0xF2CBB31A,2604
tree,1,9,283997,808,9696,0x00000000,0x792C849E,2604
tree,1,10,283997,808,9696,0x00000000,0x1A6E9704,2604
tree,1,11,283997,808,9696,0x00000000,0x7BA70ED3,2604
seq,2,1,757244,4224,50688,0x00000000,0xDCB29ECF,2604
seq,2,2,757244,4224,50688,0x00000000,0x0F95C21E,2604
seq,2,3,757244,4224,50688,0x00000000,0x43894497,2604
seq,2,4,757244,4224,50688,0x00000000,0x815A6D42,2604
seq,2,5,757244,4224,50688,0x00000000,0x58C7E8C3,2604
seq,2,6,757244,4224,50688,0x00000000,0x36C059A0,2604
seq,2,7,757244,4224,50688,0x00000000,0x8D987AC8,2604
seq,2,8,757244,4224,50688,0x00000000,0xFABE1598,2604
seq,2,9,757244,4224,50688,0x00000000,0xA3143B7E,2604
seq,2,10,757244,4224,50688,0x00000000,0x5994E450,2604
seq,2,11,757244,4224,50688,0x00000000,0x2A2FF78C,2604
tree,2,1,656509,3024,36288,0x00000000,0xBAE57BA6,3596
tree,2,2,656509,3024,36288,0x00000000,0x893F673B,3596
tree,2,3,656509,3024,36288,0x00000000,0x1D05751B,3596
tree,2,4,656509,3024,36288,0x00000000,0x4763A0AD,3596
tree,2,5,656509,3024,36288,0x00000000,0x065DC536,3596
tree,2,6,656509,3024,36288,0x00000000,0x6B02FB77,3596
tree,2,7,656509,3024,36288,0x00000000,0xB96D62FE,3596
tree,2,8,656509,3024,36288,0x00000000,0x69FEA30D,3596
tree,2,9,656509,3024,36288,0x00000000,0x9EAC4974,3596
tree,2,10,656509,3024,36288,0x00000000,0x2B8ADAA2,3596
tree,2,11,656509,3024,36288,0x00000000,0x0086C0E1,3596
seq,3,1,1680756,12048,144576,0x00000000,0xDBB0C96F,2604
seq,3,2,1680756,12048,144576,0x00000000,0xBB7508A4,2604
seq,3,3,1680756,12048,144576,0x00000000,0xB2E43EB3,2604
seq,3,4,1680756,12048,144576,0x00000000,0xCDF3E0BC,2604
seq,3,5,1680756,12048,144576,0x00000000,0x2369CEC6,2604
seq,3,6,1680756,12048,144576,0x00000000,0xDDA339C2,2604
seq,3,7,1680756,12048,144576,0x00000000,0xD1599251,2604
seq,3,8,1680756,12048,144576,0x00000000,0xA9B7ED09,2604
seq,3,9,1680756,12048,144576,0x00000000,0x71091FB1,2604
seq,3,10,1680756,12048,144576,0x00000000,0x9611CEE1,2604
seq,3,11,1680756,12048,144576,0x00000000,0x7C3F5CC1,2604
tree,3,1,1083021,5840,70080,0x00000000,0x23D3D2E7,3596
