idx,sr_before,value,sr_after,spins_until_next_ready,cycles_until_next_ready,error_flags_after
0,0x00000001,0x7424F883,0x00000000,1,13,0x00000000
1,0x00000001,0xC1D98ECF,0x00000000,1,13,0x00000000
2,0x00000001,0x2F0DFF8E,0x00000000,1,13,0x00000000
3,0x00000001,0xB7DE5091,0x00000000,1,13,0x00000000
4,0x00000001,0xC7CABC2E,0x00000000,1,13,0x00000000
5,0x00000001,0x5334877B,0x00000000,1,13,0x00000000
6,0x00000001,0x186AD904,0x00000000,1,13,0x00000000
7,0x00000001,0x67703D5B,0x00000000,1,13,0x00000000
8,0x00000001,0xEBA0E5B9,0x00000000,1,13,0x00000000
9,0x00000001,0xA0F3EDCD,0x00000000,1,13,0x00000000
10,0x00000001,0x423152EC,0x00000000,1,13,0x00000000
11,0x00000001,0x05F77E57,0x00000000,1,13,0x00000000
12,0x00000001,0xFB5B6E16,0x00000000,1,13,0x00000000
13,0x00000001,0x1980629F,0x00000000,1,13,0x00000000
14,0x00000001,0x235726CF,0x00000000,1,13,0x00000000
15,0x00000001,0x27FE24CF,0x00000000,1,13,0x00000000
16,0x00000001,0x380D40A5,0x00000000,1,13,0x00000000
17,0x00000001,0x7B7BBA67,0x00000000,1,13,0x00000000
18,0x00000001,0xD7FAFEF2,0x00000000,1,13,0x00000000
19,0x00000001,0x2F344C89,0x00000000,1,13,0x00000000
20,0x00000001,0xFCDFE1B8,0x00000000,1,13,0x00000000
21,0x00000001,0x0FC61F51,0x00000000,1,13,0x00000000
22,0x00000001,0xC7A30E85,0x00000000,1,13,0x00000000
23,0x00000001,0x3A2A0A09,0x00000000,1,13,0x00000000
24,0x00000001,0x4F237031,0x00000000,1,13,0x00000000
25,0x00000001,0x0A372136,0x00000000,1,13,0x00000000
26,0x00000001,0x821DB87E,0x00000000,1,13,0x00000000
27,0x00000001,0xF813B27F,0x00000000,1,13,0x00000000
28,0x00000001,0x84AE8D6F,0x00000000,1,13,0x00000000
29,0x00000001,0x8DCBD641,0x00000000,1,13,0x00000000
30,0x00000001,0x3847D122,0x00000000,1,13,0x00000000
31,0x00000001,0x658A09F9,0x00000000,1,13,0x00000000
32,0x00000001,0xA65C58FC,0x00000000,1,13,0x00000000
33,0x00000001,0x891EFECE,0x00000000,1,13,0x00000000
34,0x00000001,0x14FC9080,0x00000000,1,13,0x00000000
35,0x00000001,0x65210851,0x00000000,1,13,0x00000000
36,0x00000001,0x1EEE4F4D,0x00000000,1,13,0x00000000
37,0x00000001,0x549347B2,0x00000000,1,13,0x00000000
38,0x00000001,0x6E38C3A3,0x00000000,1,13,0x00000000
39,0x00000001,0xC92A10CA,0x00000000,1,13,0x00000000
40,0x00000001,0xE4C02E5A,0x00000000,1,13,0x00000000
41,0x00000001,0x1A75F97C,0x00000000,1,13,0x00000000
42,0x00000001,0xFAE24113,0x00000000,1,13,0x00000000
43,0x00000001,0x2DBA3C5E,0x00000000,1,13,0x00000000
44,0x00000001,0xBC18A46D,0x00000000,1,13,0x00000000
45,0x00000001,0xC4873EAC,0x00000000,1,13,0x00000000
46,0x00000001,0x5E1769A6,0x00000000,1,13,0x00000000
47,0x00000001,0x62FF9D53,0x00000000,1,13,0x00000000
48,0x00000001,0x79A0F0B9,0x00000000,1,13,0x00000000
49,0x00000001,0xDAAFC61D,0x00000000,1,13,0x00000000
50,0x00000001,0x9D1D5BDC,0x00000000,1,13,0x00000000
51,0x00000001,0x4ACDA43D,0x00000000,1,13,0x00000000
52,0x00000001,0xD5F8F7D9,0x00000000,1,13,0x00000000
53,0x00000001,0x71F9C928,0x00000000,1,13,0x00000000
54,0x00000001,0x2461D7EF,0x00000000,1,13,0x00000000
55,0x00000001,0x1FC55F10,0x00000000,1,13,0x00000000
56,0x00000001,0x222A7A81,0x00000000,1,13,0x00000000
57,0x00000001,0x204632D0,0x00000000,1,13,0x00000000
58,0x00000001,0x2BAE94C3,0x00000000,1,13,0x00000000
59,0x00000001,0x4249312A,0x00000000,1,13,0x00000000
60,0x00000001,0xC04C5B1B,0x00000000,1,13,0x00000000
61,0x00000001,0x4C96558F,0x00000000,1,13,0x00000000
62,0x00000001,0x69C999A6,0x00000000,1,13,0x00000000
63,0x00000001,0xFA5E3008,0x00000000,1,13,0x00000000
